Logging to f:\Onedrive\OneDrive - Kansas State University\PhD Projects\Reinforcement Learning\Codes\Precision Spraying\January_26\jan10\setting_a_default_hyperparameters\logs\January10_13\ppo_env4
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 48.6      |
|    ep_rew_mean     | -3.03e+05 |
| time/              |           |
|    fps             | 707       |
|    iterations      | 1         |
|    time_elapsed    | 11        |
|    total_timesteps | 8192      |
----------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 44.7         |
|    ep_rew_mean          | -2.72e+05    |
| time/                   |              |
|    fps                  | 410          |
|    iterations           | 2            |
|    time_elapsed         | 39           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0012870119 |
|    clip_fraction        | 9.77e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | 4.29e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 3.35e+09     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00187     |
|    std                  | 1            |
|    value_loss           | 7.43e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 46.1         |
|    ep_rew_mean          | -2.85e+05    |
| time/                   |              |
|    fps                  | 361          |
|    iterations           | 3            |
|    time_elapsed         | 68           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0011301225 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 3.07e+09     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00165     |
|    std                  | 1            |
|    value_loss           | 6.74e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.7         |
|    ep_rew_mean          | -2.54e+05    |
| time/                   |              |
|    fps                  | 340          |
|    iterations           | 4            |
|    time_elapsed         | 96           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0014561925 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.8        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 3.25e+09     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00219     |
|    std                  | 1            |
|    value_loss           | 6.97e+09     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 45           |
|    ep_rew_mean          | -2.7e+05     |
| time/                   |              |
