Logging to /home/c/choton/reinforcement_learning/icra_2026/aug9_default_hyp_exp/logs/August09_15/PPO_env5
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 126       |
|    ep_rew_mean     | -9.88e+04 |
| time/              |           |
|    fps             | 470       |
|    iterations      | 1         |
|    time_elapsed    | 17        |
|    total_timesteps | 8192      |
----------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 157          |
|    ep_rew_mean          | -9.72e+04    |
| time/                   |              |
|    fps                  | 415          |
|    iterations           | 2            |
|    time_elapsed         | 39           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0041315556 |
|    clip_fraction        | 0.0148       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.52        |
|    explained_variance   | 2.38e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.32e+08     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00211     |
|    std                  | 1            |
|    value_loss           | 6.31e+08     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 176          |
|    ep_rew_mean          | -9.55e+04    |
| time/                   |              |
|    fps                  | 377          |
|    iterations           | 3            |
|    time_elapsed         | 65           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0031981547 |
|    clip_fraction        | 0.00654      |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.52        |
|    explained_variance   | -2.5e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.2e+08      |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00184     |
|    std                  | 1            |
|    value_loss           | 4.69e+08     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 165          |
|    ep_rew_mean          | -9.65e+04    |
| time/                   |              |
|    fps                  | 362          |
|    iterations           | 4            |
|    time_elapsed         | 90           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0047582155 |
|    clip_fraction        | 0.0177       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.52        |
|    explained_variance   | -9.54e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 2.33e+08     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0025      |
|    std                  | 1            |
|    value_loss           | 5.14e+08     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 145          |
|    ep_rew_mean          | -9.63e+04    |
| time/                   |              |
|    fps                  | 360          |
|    iterations           | 5            |
|    time_elapsed         | 113          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0043568183 |
|    clip_fraction        | 0.0145       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.52        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 3.44e+08     |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0024      |
|    std                  | 1            |
|    value_loss           | 5.36e+08     |
------------------------------------------
-----------------------------------------
