Logging to /home/c/choton/reinforcement_learning/icra_2026/aug9_default_hyp_exp/logs/August09_15/PPO_env6
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 76.3      |
|    ep_rew_mean     | -9.93e+04 |
| time/              |           |
|    fps             | 547       |
|    iterations      | 1         |
|    time_elapsed    | 14        |
|    total_timesteps | 8192      |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 89.5        |
|    ep_rew_mean          | -9.96e+04   |
| time/                   |             |
|    fps                  | 410         |
|    iterations           | 2           |
|    time_elapsed         | 39          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.002451756 |
|    clip_fraction        | 0.000781    |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.51       |
|    explained_variance   | -9.54e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 8.47e+08    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00108    |
|    std                  | 1           |
|    value_loss           | 1.12e+09    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 95.6        |
|    ep_rew_mean          | -9.95e+04   |
| time/                   |             |
|    fps                  | 373         |
|    iterations           | 3           |
|    time_elapsed         | 65          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.003791075 |
|    clip_fraction        | 0.00564     |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.51       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 3.43e+08    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00169    |
|    std                  | 1           |
|    value_loss           | 8.97e+08    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 89.9         |
|    ep_rew_mean          | -1e+05       |
| time/                   |              |
|    fps                  | 360          |
|    iterations           | 4            |
|    time_elapsed         | 90           |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0022286344 |
|    clip_fraction        | 0.000427     |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.51        |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 7.03e+08     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00124     |
|    std                  | 0.999        |
|    value_loss           | 1.02e+09     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 92.2        |
|    ep_rew_mean          | -9.99e+04   |
| time/                   |             |
|    fps                  | 352         |
|    iterations           | 5           |
|    time_elapsed         | 116         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.004934338 |
|    clip_fraction        | 0.0187      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.5        |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 6.52e+08    |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00318    |
|    std                  | 0.997       |
|    value_loss           | 9.17e+08    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 89.5         |
|    ep_rew_mean          | -9.93e+04    |
| time/                   |              |
|    fps                  | 346          |
|    iterations           | 6            |
|    time_elapsed         | 141          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0036832108 |
|    clip_fraction        | 0.00507      |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.49        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 3.88e+08     |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00165     |
|    std                  | 0.997        |
|    value_loss           | 9.24e+08     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 98           |
|    ep_rew_mean          | -9.88e+04    |
| time/                   |              |
|    fps                  | 342          |
|    iterations           | 7            |
|    time_elapsed         | 167          |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0030249539 |
|    clip_fraction        | 0.0025       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.49        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 5.7e+08      |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.0015      |
|    std                  | 0.996        |
|    value_loss           | 9.26e+08     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 112          |
|    ep_rew_mean          | -9.93e+04    |
| time/                   |              |
|    fps                  | 340          |
|    iterations           | 8            |
|    time_elapsed         | 192          |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0026892833 |
|    clip_fraction        | 0.00188      |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.49        |
|    explained_variance   | 1.19e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 6.45e+08     |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00119     |
|    std                  | 0.996        |
|    value_loss           | 8.47e+08     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 112          |
|    ep_rew_mean          | -1e+05       |
| time/                   |              |
|    fps                  | 338          |
|    iterations           | 9            |
|    time_elapsed         | 217          |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 0.0037509797 |
|    clip_fraction        | 0.0067       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.49        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 4.03e+08     |
|    n_updates            | 80           |
