Logging to /home/c/choton/reinforcement_learning/icra_2026/aug11_random_hyp_exp/logs/August11_15/PPO_env3
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 145       |
|    ep_rew_mean     | -9.98e+04 |
| time/              |           |
|    fps             | 259       |
|    iterations      | 1         |
|    time_elapsed    | 63        |
|    total_timesteps | 16384     |
----------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 179          |
|    ep_rew_mean          | -9.87e+04    |
| time/                   |              |
|    fps                  | 216          |
|    iterations           | 2            |
|    time_elapsed         | 151          |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0049017896 |
|    clip_fraction        | 0.0401       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.55        |
|    explained_variance   | -4.29e-06    |
|    learning_rate        | 0.0011       |
|    loss                 | 7.79e+08     |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00396     |
|    std                  | 1.01         |
|    value_loss           | 8.6e+08      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 191          |
|    ep_rew_mean          | -9.86e+04    |
| time/                   |              |
|    fps                  | 205          |
|    iterations           | 3            |
|    time_elapsed         | 239          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0051852046 |
|    clip_fraction        | 0.0349       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.64        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0011       |
|    loss                 | 2.45e+08     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00324     |
|    std                  | 1.03         |
|    value_loss           | 7.03e+08     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 204          |
|    ep_rew_mean          | -9.89e+04    |
| time/                   |              |
|    fps                  | 199          |
|    iterations           | 4            |
|    time_elapsed         | 327          |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0041463478 |
|    clip_fraction        | 0.0239       |
|    clip_range           | 0.2          |
|    entropy_loss         | -8.73        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0011       |
